title,price,pegi_rating,platform
Rainbow Six Extraction - Deluxe Edition - Inclusief REACT Strike- en Deluxe pack - PS5,"10,95",PEGI-rating: 16 jaar en ouder,PS5
,"10,95",Advies: ,PS5
,,,
Mortal Kombat 11 Ultimate,"29,99",Meer mogelijkheden,
,,,
Mortal Kombat 11 Ultimate,"29,99",Meer mogelijkheden,
,"29,99",Meer mogelijkheden,
,,,
Biomutant PS5,"16,99",PEGI-rating: 12 jaar en ouder,PlayStation 5
,,,
Biomutant PS5,"16,99",PEGI-rating: 12 jaar en ouder,PlayStation 5
,"16,99",Advies: ,PlayStation 5
,,,
,,,
,,,
,,,
,,,
Dragons: Legends of The Nine Realms - PS5,"29,04",PEGI-rating: 7 jaar en ouder,PlayStation 5
Dragons: Legends of The Nine Realms - PS5,"29,04",PEGI-rating: 7 jaar en ouder,PlayStation 5
,,,
Dragons: Legends of The Nine Realms - PS5,"29,04",PEGI-rating: 7 jaar en ouder,PlayStation 5
,"29,04",Advies: ,PlayStation 5
,,,
Fernbus Coach Simulator (PS5),"36,99",PEGI-rating: 3 jaar en ouder,PlayStation 5
,,,
Fernbus Coach Simulator (PS5),"36,99",PEGI-rating: 3 jaar en ouder,PlayStation 5
,"36,99",,PlayStation 5
,,,
ASSASSIN'S CREED VALHALLA - PS5,"29,98",PEGI-rating: 18 jaar en ouder,PlayStation 5
,,,
ASSASSIN'S CREED VALHALLA - PS5,"29,98",PEGI-rating: 18 jaar en ouder,PlayStation 5
,"29,98",,PlayStation 5
,,,
WWE 2K22,"22,79",PEGI-rating: 16 jaar en ouder,PS5
,,,
WWE 2K22,"22,79",PEGI-rating: 16 jaar en ouder,PS5
,"22,79",Andere indeling: ,PS5
,,,
WWE 2K23 - PS5,"57,95",PEGI-rating: 16 jaar en ouder,PlayStation 5
,,,
WWE 2K23 - PS5,"57,95",PEGI-rating: 16 jaar en ouder,PlayStation 5
,"57,95",,PlayStation 5
,,,
Demon Slayer -Kimetsu no Yaiba- The Hinokami Chronicles,"29,99",PEGI-rating: 16 jaar en ouder,PlayStation 5
,,,
Demon Slayer -Kimetsu no Yaiba- The Hinokami Chronicles,"29,99",PEGI-rating: 16 jaar en ouder,PlayStation 5
,"29,99",Advies: ,PlayStation 5
,,,
"NexiGo PS5 Accessoires Koelventilator met LED-licht, efficiënt koelsysteem, eenvoudig te installeren, koelventilator voor Playstation 5 met 3 ventilatorniveaus en extra USB-poort","19,99",Mediaan: ,
,,,
"NexiGo PS5 Accessoires Koelventilator met LED-licht, efficiënt koelsysteem, eenvoudig te installeren, koelventilator voor Playstation 5 met 3 ventilatorniveaus en extra USB-poort","19,99",Mediaan: ,
,"19,99",Mediaan: ,
,,,
DRAGON BALL Z: KAKAROT,"27,45",Advies: ,PS5
,,,
DRAGON BALL Z: KAKAROT,"27,45",Advies: ,PS5
,"27,45",Advies: ,PS5
,,,
Fishing North Atlantic Complete Edition - PS5,"33,35",,PlayStation 5
,,,
Fishing North Atlantic Complete Edition - PS5,"33,35",,PlayStation 5
,"33,35",,PlayStation 5
,,,
Spirit of the North (PS5),"26,61",PEGI-rating: 7 jaar en ouder,PlayStation 5
,,,
Spirit of the North (PS5),"26,61",PEGI-rating: 7 jaar en ouder,PlayStation 5
,"26,61",Advies: ,PlayStation 5
,,,
